reviewId,content,score
be9c26f4-67b4-423b-a9e0-27e77c770d53,my phone doesn't have Viber apps on screen,2
41a75d97-5782-4cde-a888-df44e1b6bd07,Always redirect to shopee and lazada when using Viber calls,1
ea096ea1-c310-44e5-b05f-e127d737ae19,best app ever,4
4c3dc6c4-3efa-4c8b-b75e-06c2d4fcf4f4,This app is the best,5
578effb0-4b9c-4dad-b35b-ed0da4424228,amazing app,5
70b67726-b83d-4582-ba2e-9a8e9aa9def3,Like messanger i like it.,5
553d31f9-cc56-47f7-8001-aeb0e4e2736c,working great,5
a88dd0f9-f5f8-42dc-a7f3-9a9a73fbfbd0,The best voip service I ever had!!!,5
bdc49fed-4895-45e3-b4ac-48bc50ea0c36,"can't even register, useless",1
89bc53fd-b80e-4dec-8c2f-a145270ca73c,as soon the person gets a phonecall it does not put me on hold. I can not know that the other person had a phonecall. The other person her me still taking but on my end I don't her the busy tone it just get quiet.,1
480d25d2-50a2-4f48-bf93-6210c60980eb,"Tried this app for making international calls cheaply. After i purchased a data pack and trying out a few numbers i was blocked as a ""suspected scam calls"". After a brief interaction with support i was unable get my account unblocked I decided this was entirely too much trouble for not particularly cheap international calls.",1
4b792aa7-95b3-4023-935a-fe0f40298588,good in chat,5
b320baf9-0329-4c38-a6ee-b7f29fc0ebbc,Not very fast. But good enough. As messaging so calls.,4
41ea894d-c20f-49f1-8342-42d60731ef89,"Absolute worst communication app. It's not even close being in the midd, because lots of bugs and technicall issues. Suddenly just ended my call even that my friend was online in a matter of seconds! There is a lot more like bad quality call, non arriving calls or messages... You really gotta work on this application if you kinda expect it to be good. If don't, then just leave it ruined😀",1
69661ae0-5eef-40a9-aae0-22a8eb165725,Dropping it to 1 star because no matter what I did after fiddling with this app it would refuse to send me notifications and I'd open up my phone to see a notif late several hours or not even shown to me at all unless I open the app. Stop hiring vibe coders.,1
332592ba-c73c-4bbf-adf0-d61dff52ac2e,why i didn't get any verification call and verification code.??,1
b0f4c035-2c49-47b3-8a3a-95871593a636,"Viber has really been frustrating. I accidentally deleted my account and now I can’t log back in. I’ve tried all the possible methods, but there are problems everywhere. When the code comes, the code box doesn’t even appear. I’ve uninstalled and reinstalled it many times, contacted support repeatedly, and still face so many difficulties. It’s really annoying that I have to wait 12 hours because it’s blocked, and they keep asking me to send a code to this phone number. It’s really frustrating.",1
b0d45731-5057-4cce-b656-0697e3f3a224,this update makes my mobile too slow,1
9c2e8900-dfdf-4707-bfd2-33419ba4d27d,Update now and feel the difference,1
ac0cbec3-d889-425c-aae0-ca9d9478cab4,The best. And privacy #1. keep it up 👍,5
39e7bb9e-b979-4aa9-a850-c016fdd77141,nice,5
eefca0e2-2114-4b09-9640-5fe6f28547ad,"Rakuten Viber Messenger, You have Now Successfully Activated My Viber With My Filipina Wife in the Philippines. Thanks God for Viber.💃❤💋❤❤❤",5
dc3ae6d6-2324-4aa4-9d60-840e66615186,good,5
741be00c-8f8f-40b9-a39b-8b5a0246e5c6,My msg not be sending to other person why,1
62e7b6cc-2e9a-4b08-a8c3-1ac0512393c9,good right,4
038f4ea1-c30f-42cd-841f-a73fa3d27ff1,Group message - poll. Can't see who voted which,4
dc09e907-6f96-41a9-83be-8c08e2e4be69,"My number got blocked by accident and I can't unblock it. I am an elected Secretary in the Parents and Guardians Association of my son's school and I need Viber for the communication with other parents and the school' management. I contacted support but I get no answer. Please, help me unblock it.",1
44411291-8314-4320-a886-b9adaf9be170,Useful and the people from the company are really helpful.Thanks for all the help when I couldn't log in to my acc.,5
e115327b-5f9f-44ab-a335-563bf74d334e,very nice app,5
82cf3ee8-5d05-4a2c-bb5f-d0bc8d3ba02c,viber was good until ads ruin the user experience.,2
25d9235a-7732-4fb7-9f93-485b85af7e51,update viber and bring [add contact] to bottom navigation bar. it's not a organized app? zero star for this app. but 4 feedback we don't have option? otherwise this [0☆] u deserve [0☆].,1
335e44b0-95b8-43a8-99a3-6b9ca277a631,Can't open pictures sent to me after the last update.,5
4fedc620-d324-4575-98a3-b814d5252562,"Make things easier if u wanna call someone using this app, really good.",5
3afc41b8-b5e8-4b08-bf19-73c1b7b42a63,VERY GOOD,5
9398ba9b-580a-4416-9a02-d457a75a0f49,good,5
736670d3-92aa-4ea2-bb90-da3e4ba01f5c,Infant app. Low quality call despite super strong Internet connection.,1
1cc32560-0fb2-4058-bce9-553b63004ae7,Like,5
c4a740d3-9f04-4dd0-a30b-501d9217a30c,"very positive , especially the voice to text option which works very well and which i use especially for the greek language. great!",5
febbc637-30d4-4fca-8d6d-7c05cfefe06a,nic,5
9f7e2184-e1b8-4e0b-9817-02bfb5049907,this app is very good and no paid stickers,5
0dc0d07e-f78c-43bd-a766-89af8593e0ab,❤️❤️❤️🫰🫰🫰🥰🥰🥰😍😍😍👌👌👌💯💯💯,5
a7afeecf-b3eb-4a1d-9c90-9ec30cac3d4d,"I’ve been using Viber for years and it never disappoints! The messages send fast, the emojis are cute, and the voice calls are crystal clear. It’s perfect for staying connected with loved ones abroad.",5
4a2f19d2-3322-4fa0-8b6d-61a7479c588b,great message for company activity,4
3aee79b6-4865-423b-9b49-b4dbc0b349a1,"Clear audio, easy to use. I use viber to transfer Hi Res images",5
4e82aa5b-9eb3-41e3-a4d2-ba01025d902a,viber is a good app for connecting to friends love ones,5
78c5cafd-4c7f-4571-b282-5f2058a217cc,"Αυτή η εφαρμογή είναι ιδανική για όποιον θέλει να έχει στο κινητό του μια από τις εφαρμογές με τους περισσότερους τράκερς. Στο κινητό μου είναι η πρώτη με τετραπλάσια διαφορά από την αμέσως επόμενη που είναι τραπεζική. Εάν θέλετε να επικοινωνήσετε με κάποιο τμήμα εξυπηρέτησης της εφαρμογής, ψάξτε εάν χρησιμοποιούν κάποια άλλη εφαρμογή ή κάποιο email. Εάν θελήσετε ποτέ να απενεργοποιήσετε τον λογαριασμός σας και δεν γνωρίζετε από απροσδιόριστα σφάλματα θα σας πρότεινα να το rethink.",3
8bb0bf50-59bb-4c9e-b16b-f9651e5b75dc,Awesome 😎 Very Neet App,5
6c9f8a2b-cc5f-43dd-8f58-c5462d8e1687,verification not being successful,1
3d7a1c87-20c7-401a-96eb-fffa1e0796eb,good,5
6e7eb9ab-dbf6-469c-828c-cc53e9efd7dc,very bad connection,1
9d5a25d9-05ee-4d74-b9fe-fddf28a91052,excellent quality amazing connectivity using since 2012,5
a806d859-a6ea-42ab-94c1-69c1e0a6dff3,create account after first open by access txt msg. can't deactivate cuz incorrect number but sent txt,1
68b5e46d-9f35-4547-b081-ba68abfd3644,ok,5
24724783-4409-401f-ab02-71d673208da4,ok,5
8147f70a-469d-4c95-9f9e-70b4324cc641,why it has ads?,1
bb2a6809-a337-43af-9ede-f58a111fedd7,clear audio,5
a86839f6-7046-4dcf-b10e-372e1b89e588,this is good,5
4956d069-e68b-488c-83b0-9279144932eb,what the heck! i wanted to share the chat histroy and i did as instructed to type the last 4 numbers but it says its wrong and now i can not even go back i just need to try again and again now FINALLY i have to UNINSTALL IT DAMMM,1
0f302429-5285-4229-8fde-133065336747,very good for use,1
9ef071ae-a51b-4ae5-81de-003f6d48011f,perfect,5
ce36ff4e-9bb4-41b6-a5e6-4ecd7737ade2,Notifications from muted GROUPS still showing in the status bar!!!! PLEASE FIX THIS EXTREMELY ANNOYING BUG!,1
7dce4f93-8850-4d2d-9cd2-61ffecf6b41b,Very good,4
eb951978-fd55-4f60-a18d-46148c0df066,Good,5
a6614c06-c8a3-47ff-af49-e3920706d7a5,good,5
09584b28-27bd-47ee-9ed1-6da574d3a9a7,good,4
0351429f-16a4-475c-8899-d289bbcd40e8,viber,5
4569ae7d-63c3-425f-85e7-ec350eadd3ed,good,5
9ded16bf-ee24-44a7-a63d-3ad5c0ac3c3a,Good Job,4
3ec339ce-431c-49f8-9479-09571c3359a9,Worst app when it comes to reporting spam/scammers!,2
834ab345-a812-4038-b6df-e3d28ff9afd2,"Viber out seems to be a hit or miss. Some numbers, specially bank hotlines, can be contacted from viber out; but viber out is stuck to endless ringing and different IVR even if calling actual mobile can connect to same number in a breeze. Not sure if Viber out is connecting differently than actual phone because IVR of the same hotline number is also different between viber and actual phone",1
72621af2-9f56-467d-b5d7-676f4b8034f4,"good,but I can't receive six digit code",5
7241da0f-4204-4a49-9aa8-d6541f39f302,Good,5
da044439-c70c-4b00-aa06-28797ffee662,let's see.,3
19ad537e-54cc-4991-8105-15fe7cce3043,excellent,5
66617a8c-59a0-4d3c-8965-2e63135e9a8b,kad ti treba najvise on nece da posalje poruku,3
a98e3a5f-cb87-4f5d-a3ec-1857995e99bd,WHY I'M NOT GETTING ANY CODE,1
415e94f7-0e52-4ce9-86b2-480be18c2b24,nice work,5
677c8f36-8422-4bc9-8e54-f7255c0a2f7e,"After the problem of failed log in for 3 days, everything is good now. May it not happen again.",4
25c9e58d-f035-4f49-b74d-3adb73a86e17,viberthankyou,5
2e56985a-3328-455a-9b2c-556a52f2547c,good,5
ee285391-5ef5-4c0e-b2ea-ac33eb9f415d,good app,5
84ab3055-0a3b-4998-9ead-1d2e54c3c18a,pogosto mi šteka,3
234730ff-536a-4069-abe0-7e6485b9513d,very bad call quality,1
7b8b84f9-c0f3-48ab-b32a-4761bb108560,Good,3
a362be74-f7fb-498d-bb1c-fa9e5b3bb09a,"After changing phone, the ""Show Viber status icon"" dissappeared from settings. Updated to the latest version but still the same. It was very handy to access Viber from notifications bar.",4
f209d505-2313-4a2f-9233-2c78470cae08,Good using app,5
12fdf3a5-300c-42e8-9592-dff4f02fcdfb,በጓደኞቼና በሚስቴ ተጠልፏል ምን ላርግ,5
4a119f1f-8f56-42b7-94bc-058ebdcf8bdd,fix the bag for sms call code,1
5aa3d58b-0736-4f13-8d2b-04aa323d79af,bring back FC barcelona sponsor,2
2e7692e9-29e2-49d0-9f70-e96ec807ee26,ok,5
cebeeeee-fc78-44f4-8c35-f0063df4aa17,Good,5
4bbf5321-6a17-49cb-9bf8-39051241a70d,May Mya khing,1
d6f25700-98d6-4a2d-9934-f59246233a85,very good,5
36c27b9f-9fa6-434d-86b8-a543a03a5e89,good,1
